珠光宝气	zhu guang bao qi
归根究柢	gui gen jiu di
千姿百态	qian zi bai tai
神机妙算	shen ji miao suan
一丘之貉	yi qiu zhi he
依依惜别	yi yi xi bie
深明大义	shen ming da yi
小菜一碟	xiao cai yi die
追根问底	zhui gen wen di
敬老爱幼	jing lao ai you
触景伤情	chu jing shang qing
脱口而出	tuo kou er chu
心惊胆寒	xin jing dan han
走南闯北	zou nan chuang bei
挥金如土	hui jin ru tu
索然无味	suo ran wu wei
愚不可及	yu bu ke ji
一朝一夕	yi zhao yi xi
无孔不入	wu kong bu ru
逍遥法外	xiao yao fa wai
生生不息	sheng sheng bu xi
唇枪舌剑	chun qiang she jian
横行无忌	heng xing wu ji
天寒地冻	tian han di dong
孤苦伶仃	gu ku ling ding
暗箭难防	an jian nan fang
丰衣足食	feng yi zu shi
天花乱坠	tian hua luan zhui
鹤发童颜	he fa tong yan
背道而驰	bei dao er chi
忧心如焚	you xin ru fen
浩然正气	hao ran zheng qi
同日而语	tong ri er yu
出谋划策	chu mou hua ce
英姿飒爽	ying zi sa shuang
怒气冲冲	nu qi chong chong
不明真相	bu ming zhen xiang
祸从口出	huo cong kou chu
杳无消息	yao wu xiao xi
旗鼓相当	qi gu xiang dang
赤胆忠心	chi dan zhong xin
知己知彼	zhi ji zhi bi
力所不及	li suo bu ji
大雨倾盆	da yu qing pen
天灾人祸	tian zai ren huo
大气磅礴	da qi pang bo
老当益壮	lao dang yi zhuang
独出心裁	du chu xin cai
诚心诚意	cheng xin cheng yi
公正廉明	gong zheng lian ming
眼尖手快	yan jian shou kuai
朝气勃勃	zhao qi bo bo
南辕北辙	nan yuan bei zhe
酸甜苦辣	suan tian ku la
一知半解	yi zhi ban jie
急流勇退	ji liu yong tui
报仇雪恨	bao chou xue hen
目不忍睹	mu bu ren du
后生可畏	hou sheng ke wei
轻如鸿毛	qing ru hong mao
捷报频传	jie bao pin chuan
支离破碎	zhi li po sui
见好就收	jian hao jiu shou
以人为本	yi ren wei ben
天南地北	tian nan di bei
刨根究底	pao gen jiu di
光阴如箭	guang yin ru jian
大败涂地	da bai tu di
饮水思源	yin shui si yuan
可圈可点	ke quan ke dian
翻来覆去	fan lai fu qu
乘胜追击	cheng sheng zhui ji
与日俱增	yu ri ju zeng
追根究底	zhui gen jiu di
监守自盗	jian shou zi dao
久负盛名	jiu fu sheng ming
无坚不摧	wu jian bu cui
眼高手低	yan gao shou di
煞费苦心	sha fei ku xin
锦绣河山	jin xiu he shan
以身试法	yi shen shi fa
一盘散沙	yi pan san sha
煞有介事	sha you jie shi
闭口不谈	bi kou bu tan
惴惴不安	zhui zhui bu an
翩翩起舞	pian pian qi wu
异途同归	yi tu tong gui
鸡毛蒜皮	ji mao suan pi
赤诚相待	chi cheng xiang dai
热情洋溢	re qing yang yi
遥遥在望	yao yao zai wang
光芒万丈	guang mang wan zhang
安然无恙	an ran wu yang
恋恋不舍	lian lian bu she
坐卧不安	zuo wo bu an
力争上游	li zheng shang you
辞不达意	ci bu da yi
楚楚动人	chu chu dong ren
大雪纷飞	da xue fen fei
杳无音信	yao wu yin xin
看家本领	kan jia ben ling
大是大非	da shi da fei
发人深省	fa ren shen xing
和颜悦色	he yan yue se
不可理喻	bu ke li yu
接踵而至	jie zhong er zhi
甘心情愿	gan xin qing yuan
豁达大度	huo da da du
公正无私	gong zheng wu si
风平浪静	feng ping lang jing
长途跋涉	chang tu ba she
一年半载	yi nian ban zai
勇往直前	yong wang zhi qian
如影随形	ru ying sui xing
匹夫有责	pi fu you ze
振聋发聩	zhen long fa kui
油腔滑调	you qiang hua diao
不堪设想	bu kan she xiang
孤注一掷	gu zhu yi zhi
天翻地覆	tian fan di fu
滴水穿石	di shui chuan shi
雄心勃勃	xiong xin bo bo
一目了然	yi mu liao ran
天真烂漫	tian zhen lan man
淡而无味	dan er wu wei
闻过则喜	wen guo ze xi
唯我独尊	wei wo du zun
每时每刻	mei shi mei ke
一意孤行	yi yi gu xing
功成名就	gong cheng ming jiu
旁敲侧击	pang qiao ce ji
无拘无束	wu ju wu shu
各得其所	ge de qi suo
举国上下	ju guo shang xia
军令如山	jun ling ru shan
江郎才尽	jiang lang cai jin
时过境迁	shi guo jing qian
冤家路窄	yuan jia lu zhai
难以预料	nan yi yu liao
绿水青山	lu shui qing shan
挑唆是非	tiao suo shi fei
另眼相看	ling yan xiang kan
冥思苦想	ming si ku xiang
溜须拍马	liu xu pai ma
拭目以待	shi mu yi dai
心花怒放	xin hua nu fang
珠光宝气	zhu guang bao qi
排除万难	pai chu wan nan
两袖清风	liang xiu qing feng
除旧布新	chu jiu bu xin
三番五次	san fan wu ci
如法炮制	ru fa pao zhi
数一数二	shu yi shu er
箭拔弩张	jian ba nu zhang
前无古人	qian wu gu ren
无穷无尽	wu qiong wu jin
明目张胆	ming mu zhang dan
只争朝夕	zhi zheng zhao xi
草率行事	cao shuai xing shi
虚惊一场	xu jing yi chang
蹉跎岁月	cuo tuo sui yue
一腔热血	yi qiang re xue
离题万里	li ti wan li
顿开茅塞	dun kai mao se
以人为镜	yi ren wei jing
黄粱美梦	huang liang mei meng
喜不自胜	xi bu zi sheng
怀才不遇	huai cai bu yu
惊慌失措	jing huang shi cuo
中途而废	zhong tu er fei
徇私舞弊	xun si wu bi
掩耳盗铃	yan er dao ling
开门揖盗	kai men yi dao
人心惶惶	ren xin huang huang
罪有应得	zui you ying de
嫉恶如仇	ji e ru chou
形影不离	xing ying bu li
春风得意	chun feng de yi
令人发指	ling ren fa zhi
藏头露尾	cang tou lu wei
目不转睛	mu bu zhuan jing
迎头痛击	ying tou tong ji
全心全意	quan xin quan yi
荒无人烟	huang wu ren yan
手急眼快	shou ji yan kuai
炎黄子孙	yan huang zi sun
囊空如洗	nang kong ru xi
急转直下	ji zhuan zhi xia
顾此失彼	gu ci shi bi
精明能干	jing ming neng gan
堂堂正正	tang tang zheng zheng
板上钉钉	ban shang ding ding
泰山压顶	tai shan ya ding
乌合之众	wu he zhi zhong
锋芒逼人	feng mang bi ren
自以为是	zi yi wei shi
急风骤雨	ji feng zhou yu
小心翼翼	xiao xin yi yi
倚强凌弱	yi qiang ling ruo
春寒料峭	chun han liao qiao
昂首阔步	ang shou kuo bu
情不自禁	qing bu zi jin
细水长流	xi shui chang liu
海纳百川	hai na bai chuan
循序渐进	xun xu jian jin
栩栩如生	xu xu ru sheng
死而后已	si er hou yi
别有洞天	bie you dong tian
狂风骤雨	kuang feng zhou yu
转瞬之间	zhuan shun zhi jian
避重就轻	bi zhong jiu qing
自愧弗如	zi kui fu ru
赏心悦目	shang xin yue mu
杳无踪影	yao wu zong ying
言外之意	yan wai zhi yi
心灵手巧	xin ling shou qiao
高人一等	gao ren yi deng
从中作梗	cong zhong zuo geng
可乘之机	ke cheng zhi ji
春色满园	chun se man yuan
死灰复燃	si hui fu ran
败兴而归	bai xing er gui
粗茶淡饭	cu cha dan fan
扬扬自得	yang yang zi de
支支吾吾	zhi zhi wu wu
意外之财	yi wai zhi cai
穷凶极恶	qiong xiong ji e
不分上下	bu fen shang xia
灵机一动	ling ji yi dong
在所难免	zai suo nan mian
饶有兴趣	rao you xing qu
因材施教	yin cai shi jiao
三更半夜	san geng ban ye
防患未然	fang huan wei ran
力不能及	li bu neng ji
名正言顺	ming zheng yan shun
随波逐流	sui bo zhu liu
悔之无及	hui zhi wu ji
瞪目结舌	deng mu jie she
难以为情	nan yi wei qing
貌合神离	mao he shen li
两全其美	liang quan qi mei
感恩戴德	gan en dai de
全军覆没	quan jun fu mo
草率了事	cao shuai liao shi
疾恶如仇	ji e ru chou
狂风巨浪	kuang feng ju lang
故技重演	gu ji chong yan
心照不宣	xin zhao bu xuan
通俗易懂	tong su yi dong
鱼目混珠	yu mu hun zhu
物美价廉	jia lian wu mei
流连忘返	liu lian wang fan
雷霆万钧	lei ting wan jun
摇摇欲坠	yao yao yu zhui
天赐良机	tian ci liang ji
野心勃勃	ye xin bo bo
可见一斑	ke jian yi ban
头昏脑胀	tou hun nao zhang
动人心魄	dong ren xin po
固守成规	gu shou cheng gui
水深火热	shui shen huo re
近在咫尺	jin zai zhi chi
栋梁之材	dong liang zhi cai
举手投足	ju shou tou zu
百无聊赖	bai wu liao lai
东施效颦	dong shi xiao pin
无可置疑	wu ke zhi yi
见机行事	jian ji xing shi
不识好歹	bu shi hao dai
山清水秀	shan qing shui xiu
自我陶醉	zi wo tao zui
一斑窥豹	yi ban kui bao
不可逾越	bu ke yu yue
独辟蹊径	du pi xi jing
半途而废	ban tu er fei
多才多艺	duo cai duo yi
辉煌夺目	hui huang duo mu
独一无二	du yi wu er
阴错阳差	yin cuo yang cha
难以启齿	nan yi qi chi
磨拳擦掌	mo quan ca zhang
千头万绪	qian tou wan xu
捕风捉影	bu feng zhuo ying
别树一帜	bie shu yi zhi
不辞辛苦	bu ci xin ku
振奋人心	zhen fen ren xin
粥少僧多	zhou shao seng duo
前所未有	qian suo wei you
生搬硬套	sheng ban ying tao
感同身受	gan tong shen shou
图穷匕现	tu qiong bi xian
图谋不轨	tu mou bu gui
适可而止	shi ke er zhi
有勇无谋	you yong wu mou
无所忌惮	wu suo ji dan
才貌双全	cai mao shuang quan
想方设法	xiang fang she fa
有始无终	you shi wu zhong
光阴荏苒	guang yin ren ran
生龙活虎	sheng long huo hu
力透纸背	li tou zhi bei
鸡鸣狗盗	ji ming gou dao
蜂拥而上	feng yong er shang
名落孙山	ming luo sun shan
半路出家	ban lu chu jia
昏昏欲睡	hun hun yu shui
恩怨分明	en yuan fen ming
大显身手	da xian shen shou
趾高气扬	zhi gao qi yang
古道热肠	gu dao re chang
手舞足蹈	shou wu zu dao
德才兼备	de cai jian bei
牢不可破	lao bu ke po
五体投地	wu ti tou di
连绵起伏	lian mian qi fu
踌躇不定	chou chu bu ding
伶牙俐齿	ling ya li chi
将心比心	jiang xin bi xin
展翅高飞	zhan chi gao fei
千夫所指	qian fu suo zhi
山盟海誓	shan meng hai shi
书声琅琅	shu sheng lang lang
东拼西凑	dong pin xi cou
实话实说	shi hua shi shuo
胸怀大志	xiong huai da zhi
继往开来	ji wang kai lai
矢志不渝	shi zhi bu yu
南柯一梦	nan ke yi meng
窗明几净	chuang ming ji jing
守望相助	shou wang xiang zhu
十万火急	shi wan huo ji
冷眼旁观	leng yan pang guan
欲擒故纵	yu qin gu zong
命悬一线	ming xuan yi xian
转败为胜	zhuan bai wei sheng
不同凡响	bu tong fan xiang
儿女情长	er nu qing chang
乘兴而来	cheng xing er lai
非同小可	fei tong xiao ke
由浅入深	you qian ru shen
当局者迷	dang ju zhe mi
失声痛哭	shi sheng tong ku
人才辈出	ren cai bei chu
万家灯火	wan jia deng huo
黄粱一梦	huang liang yi meng
如鲠在喉	ru geng zai hou
无足挂齿	wu zu gua chi
闷闷不乐	men men bu le
家贼难防	jia zei nan fang
不拘小节	bu ju xiao jie
问心有愧	wen xin you kui
愚昧无知	yu mei wu zhi
十室九空	shi shi jiu kong
热血沸腾	re xue fei teng
悠闲自在	you xian zi zai
琳琅满目	lin lang man mu
弦外之音	xian wai zhi yin
不可饶恕	bu ke rao shu
化整为零	hua zheng wei ling
悄无声息	qiao wu sheng xi
节外生枝	jie wai sheng zhi
拈轻怕重	nian qing pa zhong
轻描淡写	qing miao dan xie
春风满面	chun feng man mian
龇牙咧嘴	zi ya lie zui
漏网之鱼	lou wang zhi yu
有利有弊	you li you bi
骄奢淫逸	jiao she yin yi
愤愤不平	fen fen bu ping
一文不值	yi wen bu zhi
口口相传	kou kou xiang chuan
蓬头散发	peng tou san fa
和气生财	he qi sheng cai
叫苦不迭	jiao ku bu die
悔之不及	hui zhi bu ji
百思不解	bai si bu jie
豁然贯通	huo ran guan tong
乐而忘返	le er wang fan
关怀备至	guan huai bei zhi
恃强凌弱	shi qiang ling ruo
看风使舵	kan feng shi duo
真枪实弹	zhen qiang shi dan
溢于言表	yi yu yan biao
混淆是非	hun xiao shi fei
亲如手足	qin ru shou zu
忍俊不禁	ren jun bu jin
物是人非	wu shi ren fei
真凭实据	zhen ping shi ju
取而代之	qu e dai zhi
一言难尽	yi yan nan jin
敢做敢当	gan zuo gan dang
藕断丝连	ou duan si lian
鱼死网破	yu si wang po
放马后炮	fang ma hou pao
一饮而尽	yi yin er jin
不足为虑	bu zu wei lu
抱残守缺	bao can shou que
孑然一身	jie ran yi shen
