珠光宝气	zhu guang bao qi
意味深长	yi wei shen chang
满盘皆输	man pan jie shu
声名鹊起	sheng ming que qi
不堪入目	bu kan ru mu
枉费工夫	wang fei gong fu
作茧自缚	zuo jian zi fu
举世闻名	ju shi wen ming
杀一儆百	sha yi jing bai
空头支票	kong tou zhi piao
狼子野心	lang zi ye xin
天真烂漫	tian zhen lan man
自卖自夸	zi mai zi kua
从天而降	cong tian er jiang
情有可原	qing you ke yuan
闻风而起	wen feng er qi
皆大欢喜	jie da huan xi
忆苦思甜	yi ku si tian
滴水不漏	di shui bu lou
话不投机	hua bu tou ji
如临大敌	ru lin da di
大惊小怪	da jing xiao guai
闻名遐迩	wen ming xia er
一线生机	yi xian sheng ji
动荡不安	dong dang bu an
水来土掩	shui lai tu yan
大展宏图	da zhan hong tu
声色俱厉	sheng se ju li
小肚鸡肠	xiao du ji chang
千篇一律	qian pian yi lu
震耳欲聋	zhen er yu long
妙手回春	miao shou hui chun
一往直前	yi wang zhi qian
能工巧匠	neng gong qiao jiang
不可一世	bu ke yi shi
先来后到	xian lai hou dao
殃及池鱼	yang ji chi yu
残缺不全	can que bu quan
风尘仆仆	feng chen pu pu
厚此薄彼	hou ci bo bi
矫枉过正	jiao wang guo zheng
夜以继日	ye yi ji ri
视死如归	shi si ru gui
心不在焉	xin bu zai yan
大街小巷	da jie xiao xiang
无所不在	wu suo bu zai
以貌取人	yi mao qu ren
三三两两	san san liang liang
青红皂白	qing hong zao bai
与众不同	yu zhong bu tong
失之交臂	shi zhi jiao bi
牛刀小试	niu dao xiao shi
殚精竭虑	dan jing jie lu
于事无补	yu shi wu bu
礼贤下士	li xian xia shi
登高望远	deng gao wang yuan
纵横交错	zong heng jiao cuo
杀鸡取卵	sha ji qu luan
名列前茅	ming lie qian mao
能言善道	neng yan shan dao
陈词滥调	chen ci lan diao
添枝加叶	tian zhi jia ye
混作一谈	hun zuo yi tan
因循守旧	yin xun shou jiu
一息尚存	yi xi shang cun
面有难色	mian you nan se
乐在其中	le zai qi zhong
马到成功	ma dao cheng gong
珠联璧合	zhu lian bi he
打马虎眼	da ma hu yan
精神抖擞	jing shen dou sou
不屑一顾	bu xie yi gu
轻重倒置	qing zhong dao zhi
精神焕发	jing shen huan fa
袖手旁观	xiu shou pang guan
知无不言	zhi wu bu yan
铤而走险	ting er zou xian
铸成大错	zhu cheng da cuo
善罢甘休	shan ba gan xiu
漫无边际	man wu bian ji
一字千金	yi zi qian jin
朴素无华	pu su wu hua
乔迁之喜	qiao qian zhi xi
千疮百孔	qian chuang bai kong
暗无天日	an wu tian ri
小恩小惠	xiao en xiao hui
置若罔闻	zhi ruo wang wen
渺无音讯	miao wu yin xun
非分之想	fei fen zhi xiang
口齿伶俐	kou chi ling li
你死我活	ni si wo huo
生财有道	sheng cai you dao
昂首挺胸	ang shou ting xiong
茁壮成长	zhuo zhuang cheng zhang
言简意赅	yan jian yi gai
愁眉不展	chou mei bu zhan
前途渺茫	qian tu miao mang
不屑置辩	bu xie zhi bian
恶语伤人	e yu shang ren
装疯卖傻	zhuang feng mai sha
卷土重来	juan tu chong lai
不了了之	bu liao liao zhi
生死存亡	sheng si cun wang
后悔莫及	hou hui mo ji
盲人摸象	mang ren mo xiang
若无其事	ruo wu qi shi
称心如意	chen xin ru yi
只手遮天	zhi shou zhe tian
相去无几	xiang qu wu ji
大错特错	da cuo te cuo
言行不符	yan xing bu fu
浑身解数	hun shen xie shu
势在必行	shi zai bi xing
倒背如流	dao bei ru liu
一言为定	yi yan wei ding
活灵活现	huo ling huo xian
小惩大诫	xiao cheng da jie
巧取豪夺	qiao qu hao duo
鸟尽弓藏	niao jin gong cang
情景交融	qing jing jiao rong
奋勇前进	fen yong qian jin
轰轰烈烈	hong hong lie lie
遥相呼应	yao xiang hu ying
论功行赏	lun gong xing shang
精美绝伦	jing mei jue lun
谢天谢地	xie tian xie di
目瞪口呆	mu deng kou dai
生死之交	sheng si zhi jiao
知足常乐	zhi zu chang le
教学相长	jiao xue xiang zhang
提心吊胆	ti xin diao dan
栋梁之才	dong liang zhi cai
为民除害	wei min chu hai
不骄不躁	bu jiao bu zao
欢蹦乱跳	huan beng luan tiao
铲草除根	chan cao chu gen
饮鸩止渴	yin zhen zhi ke
大起大落	da qi da luo
畏缩不前	wei suo bu qian
无忧无虑	wu you wu lu
疾风骤雨	ji feng zhou yu
妙语连珠	miao yu lian zhu
改过自新	gai guo zi xin
英雄好汉	ying xiong hao han
畏缩不前	wei suo bu qian
混为一谈	hun wei yi tan
投其所好	tou qi suo hao
怒火中烧	nu huo zhong shao
敷衍塞责	fu yan se ze
年少无知	nian shao wu zhi
原封不动	yuan feng bu dong
穷途末路	qiong tu mo lu
功亏一篑	gong kui yi kui
壮志未酬	zhuang zhi wei chou
万无一失	wan wu yi shi
精卫填海	jing wei tian hai
济济一堂	ji ji yi tang
急中生智	ji zhong sheng zhi
经年累月	jing nian lei yue
漏洞百出	lou dong bai chu
眼不转睛	yan bu zhuan jing
瑕不掩瑜	xia bu yan yu
屡试不爽	lu shi bu shuang
狗仗人势	gou zhang ren shi
风靡一时	feng mi yi shi
集思广益	ji si guang yi
过目不忘	guo mu bu wang
响彻云霄	xiang che yun xiao
世人皆知	shi ren jie zhi
一无所成	yi wu suo cheng
独步天下	du bu tian xia
举止大方	ju zhi da fang
事必躬亲	shi bi gong qin
趋炎附势	qu yan fu shi
金玉满堂	jin yu man tang
标新立异	biao xin li yi
助人为乐	zhu ren wei le
大快人心	da kuai ren xin
自私自利	zi si zi li
一心两用	yi xin liang yong
心明眼亮	xin ming yan liang
因人而异	yin ren er yi
赞不绝口	zan bu jue kou
人财两空	ren cai liang kong
孤立无援	gu li wu yuan
捉襟见肘	zhuo jin jian zhou
流离失所	liu li shi suo
卓尔不群	zhuo er bu qun
化险为夷	hua xian wei yi
积少成多	ji shao cheng duo
从轻发落	cong qing fa luo
大发慈悲	da fa ci bei
相提并论	xiang ti bing lun
势均力敌	shi jun li di
呼之欲出	hu zhi yu chu
满载而归	man zai er gui
呼朋唤友	hu peng huan you
石沉大海	shi chen da hai
行云流水	xing yun liu shui
始料不及	shi liao bu ji
争名逐利	zheng ming zhu li
瑕不掩瑜	xia bu yan yu
抑扬顿挫	yi yang dun cuo
大有起色	da you qi se
大费周折	da fei zhou zhe
骨肉相连	gu rou xiang lian
咬文嚼字	yao wen jiao zi
赏罚严明	shang fa yan ming
浪迹天涯	lang ji tian ya
改恶从善	gai e cong shan
牛鬼蛇神	niu gui she shen
无声无息	wu sheng wu xi
用心良苦	yong xin liang ku
畅所欲言	chang suo yu yan
泪流满面	lei liu man mian
忙里偷闲	mang li tou xian
分一杯羹	fen yi bei geng
文如其人	wen ru qi ren
先见之明	xian jian zhi ming
杳无音讯	yao wu yin xun
急于求成	ji yu qiu cheng
纷至沓来	fen zhi ta lai
来者不善	lai zhe bu shan
呆如木鸡	dai ru mu ji
花好月圆	hua hao yue yuan
挥洒自如	hui sa zi ru
